acousticness,energy,explicit,instrumentalness,loudness,popularity,speechiness,year,acousticness_ar,danceability_ar,energy_ar,instrumentalness_ar,loudness_ar,speechiness_ar,tempo_ar,popularity_ar,count,acousticness_yr,danceability_yr,duration_ms_yr,energy_yr,instrumentalness_yr,liveness_yr,loudness_yr,speechiness_yr,tempo_yr,valence_yr,popularity_yr
0.981,0.301,0,0.181,-10.217,,0.0679,1931,0.98702865,0.671241023,0.286427367,0.542779027,-11.84169314,0.120962774,123.6095963,0.049701164,3179,0.833182438,0.594892769,171564.2448,0.234736449,0.221921146,0.227246281,-16.50950723,0.452752273,108.9743781,0.512847211,0.22107438
0.551,0.315,0,3.88E-06,-10.789,,0.0328,1980,0.557218713,0.470161793,0.39320078,0.002938805,-7.408902534,0.041674464,116.2407758,38.16179337,513,0.293193449,0.554361422,250555.1402,0.594524196,0.125473791,0.204041765,-10.71437941,0.058306814,122.6728706,0.595666127,35.02401961
0.696,0.288,0,0.224,-9.972,,0.0256,1971,0.339141556,0.394366667,0.539555556,0.525962222,-10.89988889,0.043,106.585,34.66666667,18,0.459660617,0.501953432,259429.2899,0.494309042,0.125434891,0.212416,-12.1163916,0.060052296,118.1683077,0.570511605,33.9654321
0.182,0.543,1,0.00014,-5.575,,0.0317,2002,0.22864,0.545,0.4026,0.000438,-10.5392,0.03248,124.4054,38.8,10,0.296350836,0.569584428,242690.5367,0.630117329,0.107954372,0.19977927,-8.066172263,0.081590316,119.453072,0.534913187,45.67542579
0.99,0.144,0,0.884,-17.827,,0.175,1952,0.978357143,0.41697619,0.220152381,0.626824333,-16.52145238,0.103904762,93.22140476,0,42,0.875521739,0.4560212,231152.291,0.25561511,0.283863632,0.23385555,-15.7948865,0.1378031,108.2383545,0.442967062,3.505
0.117,0.433,0,0.000427,-11.015,,0.0362,1999,0.272466667,0.624466667,0.580433333,6.89E-05,-9.2201,0.085673333,141.2443,54.46666667,60,0.286312727,0.581505831,242510.8424,0.628065676,0.113494361,0.205902892,-8.489800964,0.093549349,119.4758477,0.553062651,45.24
0.367,0.48,0,0,-13.55,,0.211,1921,0.367,0.577,0.48,0,-13.55,0.211,121.673,0,2,0.862105128,0.432170513,257891.7628,0.241136346,0.337158287,0.20521859,-16.81166026,0.078951923,102.4253974,0.378275641,0.391025641
0.918,0.217,0,4.57E-05,-11.469,,0.0487,1992,0.748666667,0.524333333,0.319333333,0.003818567,-8.974666667,0.046066667,129.7663333,31,6,0.334324037,0.555134562,244357.3028,0.574860403,0.106694414,0.196873705,-10.6946509,0.072314841,122.6890428,0.558718177,42.45517928
0.806,0.425,0,0,-13.332,,0.0434,1989,0.66975,0.625890625,0.470515625,0.004097714,-12.94,0.05149375,117.1710313,25.578125,128,0.317918986,0.544702897,251943.5589,0.578152053,0.119108637,0.198228821,-11.46677872,0.063995305,120.3593646,0.54363002,38.55144855
0.214,0.788,0,0.000571,-5.269,,0.0333,2014,0.269832727,0.643212121,0.692757576,0.003412803,-8.048090909,0.041175758,122.507303,45.18181818,66,0.22676187,0.586153064,264392.4858,0.664777719,0.259981951,0.222449778,-7.82685524,0.097627442,124.6214969,0.438681083,29.10790409
0.265,0.496,0,0,-7.446,,0.0324,1989,0.47,0.507428571,0.561857143,0.011960043,-8.110571429,0.038442857,109.4558571,36.57142857,14,0.317918986,0.544702897,251943.5589,0.578152053,0.119108637,0.198228821,-11.46677872,0.063995305,120.3593646,0.54363002,38.55144855
0.848,0.126,0,0.593,-24.58,,0.0383,1948,0.909337988,0.314104225,0.204239455,0.6195485,-19.56390344,0.052367226,106.1543984,7.418357488,1035,0.92294915,0.46273625,200208.082,0.241483549,0.361887138,0.21879865,-15.517199,0.1607817,107.6842115,0.46221065,1.4295
0.995,0.143,0,0.77,-12.474,,0.0941,1950,0.960792781,0.523095822,0.283528095,0.54937015,-13.04736206,0.108335425,107.2523993,2.974842767,420,0.822814401,0.52903705,208073.6155,0.30353605,0.211687856,0.2249315,-14.400896,0.25047935,110.500212,0.5570354,3.86
0.903,0.213,0,7.77E-05,-12.269,,0.0339,1942,0.945323529,0.392691176,0.240914706,0.077915948,-13.42657353,0.0442,109.9603235,1.426470588,136,0.853698765,0.46501372,222156.5464,0.255448119,0.393849549,0.212411295,-15.02996393,0.083981431,106.005414,0.478114548,1.132465996
0.709,0.713,0,1.77E-06,-5.713,,0.0341,1976,0.496522222,0.594611111,0.47495,0.008692463,-11.53588889,0.065794444,116.7316111,35.27777778,36,0.370121782,0.528575896,267375.9328,0.547675598,0.124419441,0.246648058,-11.19534512,0.062356474,120.2947814,0.576663048,35.21663347
0.317,0.484,0,0,-13.67,,0.0348,1977,0.543875,0.63725,0.548875,5.53E-05,-9.36075,0.0518375,115.29775,43.75,16,0.343144046,0.53352069,256076.6782,0.554584217,0.127443588,0.226251924,-11.12688006,0.062954673,121.6445122,0.582772214,35.30934533
0.996,0.47,0,9.68E-05,-4.943,,0.039,1930,0.996,0.541,0.47,9.68E-05,-4.943,0.039,127.243,0,2,0.935624888,0.51971018,194691.1029,0.334859841,0.351869301,0.220634836,-12.82348674,0.120197932,109.9247884,0.616089077,0.851007423
0.808,0.528,0,0.000163,-9.173,,0.052,1957,0.744513568,0.512015075,0.315253266,0.090747913,-13.12582412,0.073630653,116.8124472,27.50251256,199,0.7937751,0.5036534,240072.304,0.293809755,0.203772194,0.1862876,-14.271581,0.0675756,112.5288855,0.5109486,19.7005
0.734,0.235,1,1.56E-06,-9.774,,0.0334,2017,0.649045455,0.591954545,0.431681818,0.000910596,-9.429954545,0.095709091,115.1976818,69.72727273,22,0.207413243,0.580475186,243402.2495,0.68639182,0.24706817,0.231512987,-8.026319109,0.096716512,121.8298066,0.436313381,31.66233766
0.91,0.301,0,0.000206,-12.187,,0.0321,2011,0.6912,0.58075,0.5845,0.000206,-10.475,0.047775,105.561,1,4,0.239499896,0.576939658,279579.4832,0.657764425,0.210333464,0.199691285,-8.13424214,0.080861611,124.2413348,0.470955935,32.86321015
0.806,0.322,0,0,-12.221,,0.0322,1947,0.796709677,0.556832258,0.34049871,0.04971133,-11.69531613,0.054778065,120.4316129,18.33548387,155,0.915655383,0.47210391,232131.8827,0.262955178,0.351209088,0.223445024,-14.4148436,0.100228614,108.9728833,0.509180746,1.642180095
0.995,0.334,0,0.934,-13.702,,0.0547,1930,0.971870307,0.407481229,0.433300341,0.440664862,-9.983819113,0.048309556,98.36276451,0,293,0.935624888,0.51971018,194691.1029,0.334859841,0.351869301,0.220634836,-12.82348674,0.120197932,109.9247884,0.616089077,0.851007423
0.996,0.0249,0,0.812,-20.509,,0.0418,1940,0.9922,0.4336,0.16072,0.60700656,-14.2378,0.05848,103.3676,0,10,0.846520478,0.525450988,181590.276,0.312278425,0.322913292,0.262480198,-13.61239865,0.245761538,108.8721107,0.622196383,0.85031185
0.785,0.382,0,2.62E-06,-8.901,,0.0293,1964,0.6866,0.4767975,0.463587,0.000252675,-10.157145,0.062379,113.5894775,30.38,400,0.695062306,0.501895452,195398.018,0.396852639,0.167019708,0.215589105,-12.84495602,0.061628686,114.7052969,0.557205297,25.74962519
0.868,0.193,0,0.00676,-16.625,,0.051,1926,0.875677419,0.682919355,0.209951613,0.267260411,-17.57565323,0.084858871,114.4605968,11.21774194,124,0.666386885,0.596914974,157836.3499,0.210506426,0.336093418,0.232021294,-18.48742287,0.477918962,109.5709722,0.437093762,1.43641836
0.885,0.164,1,0,-18.004,,0.964,1948,0.798147929,0.690863905,0.197502959,1.81E-05,-17.02446746,0.953952663,115.976568,0,338,0.92294915,0.46273625,200208.082,0.241483549,0.361887138,0.21879865,-15.517199,0.1607817,107.6842115,0.46221065,1.4295
0.995,0.0832,0,0.905,-21.476,,0.053,1947,0.929297299,0.570020379,0.373685814,0.209760742,-11.45713214,0.116506631,114.6280419,6.816112084,571,0.915655383,0.47210391,232131.8827,0.262955178,0.351209088,0.223445024,-14.4148436,0.100228614,108.9728833,0.509180746,1.642180095
0.0696,0.658,0,0.000303,-11.029,,0.118,1965,0.295402321,0.527025247,0.720307355,0.184787236,-7.903018661,0.050619649,123.3604171,35.19868277,911,0.61313595,0.500765584,198106.6588,0.443993202,0.121925504,0.21387952,-12.03407742,0.057635365,116.6388117,0.579821029,27.18181818
0.933,0.261,0,0.000573,-20.069,,0.0336,1959,0.873166667,0.516,0.271833333,0.000311333,-19.05066667,0.037466667,116.1656667,17.33333333,6,0.78490922,0.47976285,211928.132,0.31221019,0.183819909,0.1925164,-14.413364,0.06436665,111.38834,0.4782571,20.5825
0.253,0.893,0,3.53E-05,-9.209,,0.0341,1982,0.392739437,0.55328169,0.515930986,0.168930014,-11.29735211,0.039190141,116.8832535,38.46478873,142,0.296837444,0.560055284,247406.3694,0.58426649,0.103399178,0.198878166,-11.06455982,0.066932054,120.8919885,0.581505683,35.62113659
0.294,0.526,0,0.000599,-12.717,,0.0403,1986,0.192333813,0.699799065,0.529586916,0.07849086,-12.26265888,0.075859346,119.7447991,35.0046729,214,0.291118346,0.540183972,252998.8621,0.611006023,0.115236219,0.211207666,-11.22539572,0.064773569,120.2389995,0.548896814,37.15530114
0.95,0.303,0,1.50E-05,-9.994,,0.0348,1951,0.9545,0.5885,0.407,0.4860075,-10.1175,0.05425,118.0735,1,4,0.900334436,0.4614231,212773.3105,0.25727004,0.30329008,0.2195399,-15.7249555,0.10735125,109.5698825,0.44362545,3.4195
0.991,0.224,0,0.00112,-11.932,,0.0734,1945,0.98520197,0.527235222,0.238455172,0.375640974,-12.48700493,0.089287562,98.62804433,0,58,0.711386013,0.51785615,195720.2665,0.225412571,0.27492807,0.2033342,-16.9279975,0.30171355,108.256917,0.4914163,2.093
0.863,0.566,0,1.58E-06,-7.19,,0.0286,1964,0.608125,0.523,0.54275,0.003168087,-10.3555,0.041295833,117.8062083,25.58333333,48,0.695062306,0.501895452,195398.018,0.396852639,0.167019708,0.215589105,-12.84495602,0.061628686,114.7052969,0.557205297,25.74962519
0.993,0.458,0,0.645,-9.815,,0.0342,1935,0.851230769,0.683564103,0.457615385,0.117687576,-10.17384615,0.062897436,126.0171538,11.46153846,39,0.779467828,0.554997053,221102.2242,0.246622915,0.223655447,0.229625817,-15.40576041,0.355044523,110.7225874,0.544518193,1.372197309
0.995,0.109,0,0.794,-15.796,,0.121,1927,0.984488204,0.658213275,0.286427367,0.542779027,-12.11405222,0.110551337,123.0008912,0.049701164,3179,0.91582582,0.655929333,176542.812,0.267902133,0.320992036,0.177386533,-15.235276,0.261915333,112.6637067,0.669675733,0.684
0.924,0.0139,0,0.956,-31.583,,0.0516,2000,0.932333333,0.065,0.012356667,0.952666667,-30.69033333,0.051833333,105.6556667,46,6,0.297568105,0.595451372,243649.7727,0.620402777,0.131148334,0.21620566,-8.456220412,0.089065266,117.6681981,0.558011921,46.25900515
0.197,0.786,0,0,-4.529,,0.0478,2020,0.23390307,0.594052632,0.849666667,5.27E-06,-5.058236842,0.052661842,122.9666974,77.89473684,19,0.202303152,0.605285375,218977.4828,0.67424741,0.24900808,0.234414811,-8.077562878,0.100628598,124.0583081,0.468030095,24.0647415
0.989,0.049,0,0.0614,-21.252,,0.0343,1948,0.845708091,0.364185113,0.266238835,0.053062505,-15.08480583,0.100771845,105.7417023,16.39482201,309,0.92294915,0.46273625,200208.082,0.241483549,0.361887138,0.21879865,-15.517199,0.1607817,107.6842115,0.46221065,1.4295
0.986,0.289,0,0.826,-13.103,,0.174,1929,0.984488204,0.658213275,0.286427367,0.542779027,-12.11405222,0.110551337,123.0008912,0.049701164,3179,0.601014837,0.647839853,168795.6099,0.241907781,0.215405087,0.235977077,-16.53305573,0.490463722,110.9267108,0.636804837,0.314405889
0.192,0.604,0,0,-12.518,,0.0439,1988,0.358140566,0.500886792,0.62490566,0.00058025,-8.224443396,0.041408491,123.1748679,52.23584906,212,0.324389742,0.538125612,255257.023,0.585181413,0.125208639,0.210337644,-11.58102596,0.06661967,119.9393824,0.546343395,38.91362956
0.42,0.6,0,8.72E-06,-5.682,,0.0319,2011,0.316,0.8155,0.572,0.05300436,-5.565,0.03125,100.291,54.5,4,0.239499896,0.576939658,279579.4832,0.657764425,0.210333464,0.199691285,-8.13424214,0.080861611,124.2413348,0.470955935,32.86321015
0.184,0.245,0,9.15E-06,-13.193,,0.0469,1995,0.336745,0.6632,0.36765,0.015981892,-11.078375,0.056585,133.938,39.275,80,0.317051007,0.559848326,246106.4683,0.567857636,0.126472495,0.198761069,-10.3023948,0.082173713,118.965039,0.529818591,44.22188906
0.0612,0.785,0,0.544,-8.412,,0.0291,1969,0.212753583,0.505333333,0.725166667,0.21621425,-8.212583333,0.068866667,132.5025833,41.25,24,0.446089055,0.486169772,238507.7899,0.490378821,0.163008627,0.208033647,-11.9812106,0.054223241,117.0169673,0.555223969,32.3567889
3.12E-05,0.988,0,0.976,-6.593,,0.0755,2020,0.037164966,0.544410256,0.842833333,0.413377688,-7.162615385,0.063626923,130.1588077,16.08974359,78,0.202303152,0.605285375,218977.4828,0.67424741,0.24900808,0.234414811,-8.077562878,0.100628598,124.0583081,0.468030095,24.0647415
0.0901,0.977,1,2.42E-06,-3.199,,0.0597,2003,0.095270175,0.648,0.729444444,0.000212943,-5.177492063,0.064087302,114.3123175,61.25396825,63,0.284784828,0.574929826,244417.6677,0.650036574,0.103346526,0.211057674,-7.786547468,0.096113608,120.191265,0.531859256,45.76740506
0.709,0.553,0,0,-8.837,,0.0324,1993,0.716333333,0.295833333,0.542166667,0.001330035,-10.20816667,0.034533333,130.2493333,51.16666667,12,0.320281025,0.569725819,247680.3649,0.550038774,0.111799363,0.192185601,-11.0844424,0.076870258,120.4223093,0.55555854,42.34806356
0.0992,0.913,0,0,-2.974,,0.281,2014,0.111270833,0.564425,0.913,9.50E-07,-3.454883333,0.25334,97.638775,25,30,0.22676187,0.586153064,264392.4858,0.664777719,0.259981951,0.222449778,-7.82685524,0.097627442,124.6214969,0.438681083,29.10790409
0.971,0.441,0,0.00292,-10.64,,0.0598,1953,0.956196415,0.317042159,0.259636364,0.356216645,-15.4424727,0.059068723,96.92384566,2.571428571,171,0.891746741,0.4408337,216552.2595,0.26741821,0.314624788,0.2214424,-15.4143045,0.09259075,110.008113,0.432251,3.6725
0.916,0.208,0,0.00305,-12.098,,0.0293,1967,0.742273139,0.440785838,0.250446222,0.28519765,-15.78155906,0.04818151,115.2770508,35.99555556,1435,0.542332251,0.489199001,198554.5866,0.441366266,0.123022584,0.191377733,-11.84957414,0.051578482,116.0915986,0.545514528,31.14927609
0.123,0.158,1,9.16E-06,-20.959,,0.93,1945,0.298241139,0.693758945,0.200422411,0.000231204,-19.25403202,0.921458569,110.7318465,0.00094162,2124,0.711386013,0.51785615,195720.2665,0.225412571,0.27492807,0.2033342,-16.9279975,0.30171355,108.256917,0.4914163,2.093
0.994,0.0653,0,0.114,-11.296,,0.125,1938,0.9905,0.514,0.11815,0.101,-10.047,0.114,84.6095,0,4,0.913630353,0.48051045,247940.7219,0.281248392,0.37636336,0.236019614,-14.30797749,0.095286977,111.6443248,0.514659984,2.072347267
0.556,0.479,0,0,-5.574,,0.0466,2018,0.270013902,0.684283636,0.625121212,0.000655372,-5.977746515,0.071616061,123.9684123,72.05,100,0.233836135,0.602730914,227073.14,0.659552093,0.229874471,0.231009359,-8.173433677,0.121044731,123.6442881,0.426566334,27.59948416
0.0529,0.935,0,0.0934,-5.195,,0.0849,1985,0.343490845,0.567956311,0.597328155,0.071700478,-9.037383495,0.04443932,119.7184951,44.59708738,206,0.30974067,0.555073144,251533.7838,0.595302267,0.118708717,0.196849875,-11.4783149,0.058597708,121.2249851,0.564201993,36.55655207
0.873,0.26,0,2.00E-05,-11.842,,0.0355,1992,0.855212418,0.586366013,0.274287582,0.000614096,-12.48468627,0.035870588,128.1021503,30.89542484,153,0.334324037,0.555134562,244357.3028,0.574860403,0.106694414,0.196873705,-10.6946509,0.072314841,122.6890428,0.558718177,42.45517928
0.261,0.562,0,2.41E-06,-9.011,,0.0399,1998,0.224333333,0.746666667,0.491,4.27E-06,-9.436,0.0471,95.32866667,52,6,0.301000801,0.580688004,249384.6264,0.599213024,0.126487913,0.195251622,-9.14002704,0.088892429,118.0700821,0.529285202,44.85496559
4.06E-05,0.935,0,0.425,-10.177,,0.106,2019,0.0077202,0.466333333,0.963333333,0.553,-8.455333333,0.102933333,136.961,27,6,0.261344304,0.603101417,225463.3263,0.62978113,0.221123327,0.218500687,-8.527674109,0.106820052,122.4197024,0.45781319,32.34693001
0.981,0.244,0,0.00101,-14.235,,0.0418,1951,0.918653974,0.250972584,0.235219231,0.726696808,-17.35060802,0.051297317,100.0252822,28.4507874,508,0.900334436,0.4614231,212773.3105,0.25727004,0.30329008,0.2195399,-15.7249555,0.10735125,109.5698825,0.44362545,3.4195
0.8,0.261,0,1.63E-06,-10.409,,0.0315,1993,0.350178,0.63696,0.6331,0.000656149,-9.12531,0.033111,117.64022,41.4,50,0.320281025,0.569725819,247680.3649,0.550038774,0.111799363,0.192185601,-11.0844424,0.076870258,120.4223093,0.55555854,42.34806356
0.261,0.484,0,0.125,-11.198,,0.048,1971,0.228909135,0.410346154,0.615846154,0.149422287,-9.596903846,0.052004808,116.57125,32.36538462,208,0.459660617,0.501953432,259429.2899,0.494309042,0.125434891,0.212416,-12.1163916,0.060052296,118.1683077,0.570511605,33.9654321
0.589,0.273,0,6.51E-05,-14.496,,0.0358,1970,0.606480773,0.559683575,0.433743961,0.006214269,-10.71547101,0.061202415,117.5892271,31.58454106,414,0.457020049,0.505228061,243635.9539,0.494816807,0.130063223,0.21163059,-11.7597888,0.051204611,117.3742821,0.57272707,33.90332176
0.48,0.9,0,1.05E-06,-3.401,,0.0509,1966,0.227315173,0.475385281,0.713012987,0.061766535,-8.96652381,0.061204329,127.3311558,29.91991342,462,0.526400901,0.504722806,207088.5253,0.480173184,0.117845979,0.216740295,-11.36023767,0.054067136,117.0764222,0.577695644,30.90711083
0.403,0.613,0,0,-5.353,,0.0344,2016,0.292,0.7125,0.5885,3.97E-06,-5.995714286,0.059385714,96.71842857,73.42857143,14,0.226943656,0.581582546,258001.1865,0.656546976,0.203332473,0.221416688,-8.002875692,0.09723163,123.8149293,0.432452452,29.21243082
